facilityid,id_overall,sd,smp,hs,s1,group,type,teach_num,sup_pnpm,sup_gov,sup_uni,sup_private,sup_ngo,sup_himpaudi,sup_socind,freq_wk,duration,tot_student,ratio,room_age_separate,parents_inv,refresher_training,visit_gov,room_avail,book,book_no,clean_water,toilet,bin,sink,weight_scale,heigth,head_measure,firstaid,facilities,population,household,poor_hh,poor_pct,poor_level,bpd,bpd_meet,cp_koperasi,cp_gotong_royong,cp_karangta3a,cp_health,cp_women,cp_labor,mean_cp,safe_play,safe_clean,safe_availplayground,safe_noharm,safe_noconflict,safe_ownership,mean_safe,pp_raskin,pp_blt,pp_pkh,pp_jamkesmas,pp_kur,pp_wash,pp_pnpminf,pp_pnpmeco,pp_pnpmsoc,pp_pnpmgen,mean_pp,market,capital_district,capital_regency,capital_prov,bank,terminal,health_service,hospital,primary_sc,junior_sc,high_school,university
127001,3.72,0,0,1,0,treatment,KB,2,No,Yes,No,No,Yes,No,Yes,6,120,26,13,1,Yes,Yes,3,1,1,15,1,1,1,1,1,1,1,1,26,1744,521,245,47.02495202,High,Yes,1,4,4,4,1,4,4,3.5,3,3,3,3,3,3,3,1,2,3,4,1,1,4,4,4,1,2.5,3,3.5,45,105,3,10,2.5,35,0.300000012,2.5,5,45
127101,1.555,0,0,0.33,0.67,control,TK,3,Yes,Yes,No,No,No,No,Yes,6,90,53,18,1,Yes,Yes,0,2,1,8,2,1,1,0,1,1,0,1,22,1744,521,245,47.02495202,High,Yes,1,4,4,4,1,4,4,3.5,3,3,3,3,3,3,3,1,2,3,4,1,1,4,4,4,1,2.5,3,3.5,45,105,3,10,2.5,35,0.300000012,2.5,5,45
128101,2.885,0,0,0,1,control,TK,3,Yes,Yes,No,No,Yes,No,Yes,6,180,58,19,1,Yes,Yes,1,2,1,30,1,1,2,0,1,1,1,1,24,2191,737,249,33.78561737,Moderate-High,Yes,1,4,3,4,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,2,3,4,1,1,4,4,4,1,2.5,3,4,56,162,4,45,2,45,0.01,2,4,56
128701,1.86,0,0.67,0.27,0.07,control,TPQ,18,Yes,Yes,No,No,No,No,Yes,6,60,8,0,1,Yes,Yes,0,5,1,3,0,0,0,0,0,0,0,0,4,2191,737,249,33.78561737,Moderate-High,Yes,1,4,3,4,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,2,3,4,1,1,4,4,4,1,2.5,3,4,56,162,4,45,2,45,0.01,2,4,56
129101,2.345,0,0,0.5,0.5,control,TK,2,Yes,Yes,No,No,Yes,No,No,6,90,19,10,0,No,Yes,0,1,1,18,1,0,1,1,0,0,0,1,21,1212,382,217,56.80628272,High,Yes,3,4,3,4,4,4,4,3.833333333,3,3,3,3,4,4,3.333333333,1,2,4,4,1,4,4,4,4,2,3,8,8,30,120,8,8,1,30,0.5,3,8,21
129201,2.81,0,0,0.67,0.33,control,KB,3,Yes,Yes,No,No,Yes,No,Yes,6,90,36,12,1,Yes,Yes,0,1,1,32,1,1,2,2,1,1,1,2,25,1212,382,217,56.80628272,High,Yes,3,4,3,4,4,4,4,3.833333333,3,3,3,3,4,4,3.333333333,1,2,4,4,1,4,4,4,4,2,3,8,8,30,120,8,8,1,30,0.5,3,8,21
130101,2.55,0,0,1,0,control,RA,2,Yes,Yes,No,No,No,No,Yes,6,120,22,11,1,No,Yes,0,1,1,20,0,0,1,0,0,0,0,0,13,886,259,91,35.13513514,Moderate-High,Yes,0,4,3,3,4,4,4,3.666666667,2,2,3,3,3,3,2.666666667,1,2,4,4,1,1,3,4,4,1,2.5,3,3,31,60,2,3,3,22,2,3,2,11
130201,3.895,0,0.25,0.75,0,control,KB,4,No,Yes,No,No,No,No,No,5,90,31,8,1,Yes,Yes,1,2,1,10,0,0,1,0,1,1,1,1,14,886,259,91,35.13513514,Moderate-High,Yes,0,4,3,3,4,4,4,3.666666667,2,2,3,3,3,3,2.666666667,1,2,4,4,1,1,3,4,4,1,2.5,3,3,31,60,2,3,3,22,2,3,2,11
131001,3.54,0,0,1,0,treatment,KB,1,No,Yes,No,No,No,No,Yes,5,90,35,35,1,Yes,Yes,2,1,1,30,0,0,1,0,1,1,1,1,24,3877,1071,344,32.11951447,Moderate-High,Yes,0,4,3,3,4,4,4,3.666666667,1,2,1,1,2,3,1.666666667,2,2,4,4,3,4,4,4,4,1,3.2,2,3,35,190,1,15,1,35,0.200000003,0.200000003,0.200000003,35
131101,2.79,0,0,0.33,0.67,control,TK,3,No,Yes,No,No,No,No,No,6,90,26,9,0,Yes,No,0,1,1,20,2,0,1,2,1,1,0,1,21,3877,1071,344,32.11951447,Moderate-High,Yes,0,4,3,3,4,4,4,3.666666667,1,2,1,1,2,3,1.666666667,2,2,4,4,3,4,4,4,4,1,3.2,2,3,35,190,1,15,1,35,0.200000003,0.200000003,0.200000003,35
